time_ms,latent,correlation_with_log_rt
-378.5016174316406,z2,-0.07247312628924124
-374.59283447265625,z2,-0.06646259356894611
-370.6840515136719,z2,-0.060779154688351114
-366.7752380371094,z2,-0.05486941774121177
-362.866455078125,z2,-0.048252953136072335
-358.9576416015625,z2,-0.040759968776129425
-355.0488586425781,z2,-0.032577991353102916
-351.14007568359375,z2,-0.02430300094195177
-347.23126220703125,z2,-0.01677363768669006
-343.3224792480469,z2,-0.0107469517000398
-339.4136657714844,z2,-0.006478856712274479
-335.5048828125,z2,-0.0036989564724322936
-331.5960998535156,z2,-0.001877491767653298
-327.6872863769531,z2,-0.00048340647999054246
-323.77850341796875,z2,0.0008562015774923363
-319.8697204589844,z2,0.0023409851891106627
-315.9609069824219,z2,0.003981568955929713
-312.0521240234375,z2,0.00571446018232395
-308.143310546875,z2,0.00762007684119222
-304.2345275878906,z2,0.00996893285485777
-300.32574462890625,z2,0.012989140324018223
-296.41693115234375,z2,0.016705975328247337
-292.5081481933594,z2,0.020995472684944037
-288.5993347167969,z2,0.025680541528925335
-284.6905517578125,z2,0.030632267597633548
-280.7817687988281,z2,0.035601731288876184
-276.8729553222656,z2,0.040258851953000614
-272.96417236328125,z2,0.04428250877105369
-269.0553894042969,z2,0.04746927347026738
-265.1465759277344,z2,0.04973820536762961
-261.23779296875,z2,0.05093513586925871
-257.3289794921875,z2,0.05116703688866825
-253.42019653320312,z2,0.050673433948511176
-249.5113983154297,z2,0.04969358693220676
-245.60260009765625,z2,0.048663648636845545
-241.69381713867188,z2,0.048053792149418496
-237.78501892089844,z2,0.04799029170613227
-233.876220703125,z2,0.048298436837988436
-229.96742248535156,z2,0.04868309629337937
-226.0586395263672,z2,0.04895071977335748
-222.14984130859375,z2,0.04905152628037813
-218.2410430908203,z2,0.04887920651008217
-214.33224487304688,z2,0.04836870141891851
-210.42344665527344,z2,0.04770749653594658
-206.51466369628906,z2,0.04725169571077934
-202.60586547851562,z2,0.04723450141066987
-198.6970672607422,z2,0.047680026878881
-194.78826904296875,z2,0.048630494791152216
-190.87948608398438,z2,0.05029319281151973
-186.97068786621094,z2,0.052812109298380046
-183.0618896484375,z2,0.056088090588302636
-179.15309143066406,z2,0.059849744986807354
-175.24429321289062,z2,0.0637356469857384
-171.33551025390625,z2,0.06743444518495664
-167.4267120361328,z2,0.07078570914347891
-163.51791381835938,z2,0.07386898986763915
-159.60911560058594,z2,0.07686727185630997
-155.70033264160156,z2,0.07985469101570566
-151.79153442382812,z2,0.08276130672557352
-147.8827362060547,z2,0.08545596436787337
-143.97393798828125,z2,0.08785472256458177
-140.0651397705078,z2,0.08973170171834072
-136.15635681152344,z2,0.09082094488810738
-132.24755859375,z2,0.09111753045898412
