window,model,fold,feature,coefficient
mid (-300 to -120 ms),baseline+z,1,baseline_2,-0.03636208549141884
mid (-300 to -120 ms),baseline+z,1,baseline_3,0.009730653837323189
mid (-300 to -120 ms),baseline+z,1,baseline_4,0.026859434321522713
mid (-300 to -120 ms),baseline+z,1,z1_mean,0.0188625305891037
mid (-300 to -120 ms),baseline+z,1,z2_mean,0.009210457094013691
mid (-300 to -120 ms),baseline+z,1,z3_mean,0.0032974982168525457
mid (-300 to -120 ms),baseline+z,1,z4_mean,-0.003876219503581524
mid (-300 to -120 ms),baseline+z,1,z5_mean,0.0092774648219347
mid (-300 to -120 ms),baseline+z,2,baseline_0,0.05689813941717148
mid (-300 to -120 ms),baseline+z,2,baseline_1,-0.02819865569472313
mid (-300 to -120 ms),baseline+z,2,baseline_2,-0.038627445697784424
mid (-300 to -120 ms),baseline+z,2,baseline_3,0.007263490930199623
mid (-300 to -120 ms),baseline+z,2,baseline_4,0.02181537076830864
mid (-300 to -120 ms),baseline+z,2,z1_mean,0.031126614660024643
mid (-300 to -120 ms),baseline+z,2,z2_mean,0.0021770556923002005
mid (-300 to -120 ms),baseline+z,2,z3_mean,0.0005317314062267542
mid (-300 to -120 ms),baseline+z,2,z4_mean,-0.0031481366604566574
mid (-300 to -120 ms),baseline+z,2,z5_mean,0.016683194786310196
mid (-300 to -120 ms),baseline+z,3,baseline_0,0.051079392433166504
mid (-300 to -120 ms),baseline+z,3,baseline_1,-0.02646562270820141
mid (-300 to -120 ms),baseline+z,3,baseline_2,-0.03598053753376007
mid (-300 to -120 ms),baseline+z,3,baseline_3,0.008399374783039093
mid (-300 to -120 ms),baseline+z,3,baseline_4,0.023614786565303802
mid (-300 to -120 ms),baseline+z,3,z1_mean,0.02505498193204403
mid (-300 to -120 ms),baseline+z,3,z2_mean,0.008220505900681019
mid (-300 to -120 ms),baseline+z,3,z3_mean,0.000922392588108778
mid (-300 to -120 ms),baseline+z,3,z4_mean,-0.006080758757889271
mid (-300 to -120 ms),baseline+z,3,z5_mean,0.01316841784864664
mid (-300 to -120 ms),baseline+z,4,baseline_0,0.05191843584179878
mid (-300 to -120 ms),baseline+z,4,baseline_1,-0.024014487862586975
mid (-300 to -120 ms),baseline+z,4,baseline_2,-0.03449080139398575
mid (-300 to -120 ms),baseline+z,4,baseline_3,0.01006705779582262
mid (-300 to -120 ms),baseline+z,4,baseline_4,0.02083447575569153
mid (-300 to -120 ms),baseline+z,4,z1_mean,0.026030339300632477
mid (-300 to -120 ms),baseline+z,4,z2_mean,0.011880395002663136
mid (-300 to -120 ms),baseline+z,4,z3_mean,0.002237000735476613
mid (-300 to -120 ms),baseline+z,4,z4_mean,-0.006371489260345697
mid (-300 to -120 ms),baseline+z,4,z5_mean,0.013785085640847683
mid (-300 to -120 ms),baseline+z,5,baseline_0,0.06321529299020767
mid (-300 to -120 ms),baseline+z,5,baseline_1,-0.027886027470231056
mid (-300 to -120 ms),baseline+z,5,baseline_2,-0.03367920219898224
mid (-300 to -120 ms),baseline+z,5,baseline_3,0.012430312111973763
mid (-300 to -120 ms),baseline+z,5,baseline_4,0.02524070255458355
mid (-300 to -120 ms),baseline+z,5,z1_mean,-0.01199335977435112
mid (-300 to -120 ms),baseline+z,5,z2_mean,0.0007107704877853394
mid (-300 to -120 ms),baseline+z,5,z3_mean,0.02832888439297676
mid (-300 to -120 ms),baseline+z,5,z4_mean,-0.062144648283720016
mid (-300 to -120 ms),baseline+z,5,z5_mean,0.06172550469636917
mid (-300 to -120 ms),baseline+shuffled-z,1,baseline_0,0.06118450686335564
mid (-300 to -120 ms),baseline+shuffled-z,1,baseline_1,-0.024170532822608948
mid (-300 to -120 ms),baseline+shuffled-z,1,baseline_2,-0.03765856474637985
mid (-300 to -120 ms),baseline+shuffled-z,1,baseline_3,0.01024303026497364
mid (-300 to -120 ms),baseline+shuffled-z,1,baseline_4,0.027354806661605835
mid (-300 to -120 ms),baseline+shuffled-z,1,shuffled_z1_mean,0.005079647526144981
mid (-300 to -120 ms),baseline+shuffled-z,1,shuffled_z2_mean,-0.0017058131052181125
mid (-300 to -120 ms),baseline+shuffled-z,1,shuffled_z3_mean,0.0018757057841867208
mid (-300 to -120 ms),baseline+shuffled-z,1,shuffled_z4_mean,0.0018927736673504114
mid (-300 to -120 ms),baseline+shuffled-z,1,shuffled_z5_mean,0.0026451044250279665
mid (-300 to -120 ms),baseline+shuffled-z,2,baseline_0,0.06243745982646942
mid (-300 to -120 ms),baseline+shuffled-z,2,baseline_1,-0.03041130304336548
mid (-300 to -120 ms),baseline+shuffled-z,2,baseline_2,-0.04129549860954285
mid (-300 to -120 ms),baseline+shuffled-z,2,baseline_3,0.007452716585248709
